pose: (0.59,-0.37,-0.89)	thetad = -0.89	e = -0.00, az = -0.01

pose: (0.59,-0.37,-0.89)	thetad = -0.89	e = -0.00, az = -0.02

pose: (0.60,-0.38,-0.89)	thetad = -0.90	e = -0.00, az = -0.02

pose: (0.61,-0.38,-0.89)	thetad = -0.90	e = -0.00, az = -0.02

pose: (0.62,-0.39,-0.90)	thetad = -0.90	e = -0.00, az = -0.02

pose: (0.62,-0.39,-0.90)	thetad = -0.90	e = -0.00, az = -0.02

pose: (0.63,-0.40,-0.90)	thetad = -0.90	e = -0.00, az = -0.02

pose: (0.64,-0.40,-0.90)	thetad = -0.91	e = -0.00, az = -0.02

pose: (0.65,-0.41,-0.91)	thetad = -0.91	e = 0.00, az = -0.01

pose: (0.66,-0.41,-0.91)	thetad = -0.91	e = -0.00, az = -0.01

pose: (0.66,-0.42,-0.91)	thetad = -0.91	e = -0.00, az = -0.01

pose: (0.67,-0.42,-0.92)	thetad = -0.91	e = 0.00, az = -0.01

pose: (0.68,-0.43,-0.92)	thetad = -0.92	e = 0.00, az = -0.01

pose: (0.68,-0.43,-0.92)	thetad = -0.92	e = 0.00, az = -0.01

pose: (0.69,-0.44,-0.92)	thetad = -0.92	e = -0.00, az = -0.01

pose: (0.70,-0.44,-0.92)	thetad = -0.92	e = -0.00, az = -0.02

pose: (0.71,-0.45,-0.92)	thetad = -0.93	e = -0.00, az = -0.02

pose: (0.72,-0.45,-0.92)	thetad = -0.93	e = -0.00, az = -0.02

pose: (0.72,-0.46,-0.93)	thetad = -0.93	e = -0.00, az = -0.02

pose: (0.73,-0.47,-0.93)	thetad = -0.93	e = -0.00, az = -0.02

pose: (0.74,-0.47,-0.93)	thetad = -0.93	e = -0.00, az = -0.02

pose: (0.75,-0.48,-0.93)	thetad = -0.94	e = -0.00, az = -0.02

pose: (0.76,-0.48,-0.94)	thetad = -0.94	e = -0.00, az = -0.02

pose: (0.76,-0.49,-0.94)	thetad = -0.94	e = -0.00, az = -0.02

pose: (0.77,-0.49,-0.94)	thetad = -0.94	e = -0.00, az = -0.02

pose: (0.78,-0.50,-0.94)	thetad = -0.95	e = -0.01, az = -0.02

pose: (0.79,-0.50,-0.94)	thetad = -0.95	e = -0.01, az = -0.03

pose: (0.79,-0.51,-0.95)	thetad = -0.95	e = -0.00, az = -0.02

pose: (0.80,-0.51,-0.95)	thetad = -0.95	e = -0.01, az = -0.03

pose: (0.81,-0.52,-0.95)	thetad = -0.96	e = -0.00, az = -0.03

pose: (0.81,-0.52,-0.96)	thetad = -0.96	e = -0.00, az = -0.02

pose: (0.82,-0.53,-0.96)	thetad = -0.96	e = -0.00, az = -0.02

pose: (0.83,-0.53,-0.96)	thetad = -0.96	e = -0.00, az = -0.02

pose: (0.84,-0.54,-0.97)	thetad = -0.97	e = -0.00, az = -0.02

pose: (0.85,-0.55,-0.97)	thetad = -0.97	e = -0.00, az = -0.02

pose: (0.85,-0.55,-0.97)	thetad = -0.97	e = -0.00, az = -0.02

pose: (0.86,-0.56,-0.98)	thetad = -0.98	e = 0.00, az = -0.02

pose: (0.87,-0.56,-0.98)	thetad = -0.98	e = 0.00, az = -0.02

pose: (0.88,-0.57,-0.98)	thetad = -0.98	e = -0.00, az = -0.02

pose: (0.89,-0.58,-0.98)	thetad = -0.99	e = -0.00, az = -0.02

pose: (0.89,-0.58,-0.98)	thetad = -0.99	e = -0.00, az = -0.03

pose: (0.90,-0.59,-0.99)	thetad = -0.99	e = -0.00, az = -0.03

pose: (0.91,-0.59,-0.99)	thetad = -0.99	e = -0.01, az = -0.03

pose: (0.91,-0.60,-0.99)	thetad = -1.00	e = -0.00, az = -0.03

pose: (0.92,-0.60,-1.00)	thetad = -1.00	e = -0.00, az = -0.03

pose: (0.93,-0.61,-1.00)	thetad = -1.00	e = -0.00, az = -0.03

pose: (0.94,-0.61,-1.00)	thetad = -1.01	e = -0.00, az = -0.03

pose: (0.95,-0.62,-1.00)	thetad = -1.01	e = -0.01, az = -0.03

pose: (0.95,-0.62,-1.01)	thetad = -1.01	e = -0.00, az = -0.03

pose: (0.96,-0.63,-1.01)	thetad = -1.02	e = -0.01, az = -0.03

pose: (0.97,-0.63,-1.01)	thetad = -1.02	e = -0.00, az = -0.03

pose: (0.98,-0.64,-1.02)	thetad = -1.02	e = -0.00, az = -0.03

pose: (0.98,-0.65,-1.02)	thetad = -1.03	e = -0.00, az = -0.03

pose: (0.99,-0.66,-1.03)	thetad = -1.03	e = -0.00, az = -0.03

pose: (1.00,-0.66,-1.03)	thetad = -1.03	e = -0.00, az = -0.03

pose: (1.01,-0.67,-1.03)	thetad = -1.04	e = -0.00, az = -0.03

pose: (1.01,-0.67,-1.04)	thetad = -1.04	e = -0.00, az = -0.03

pose: (1.02,-0.68,-1.04)	thetad = -1.04	e = -0.00, az = -0.03

pose: (1.03,-0.68,-1.05)	thetad = -1.05	e = -0.00, az = -0.03

pose: (1.04,-0.69,-1.05)	thetad = -1.05	e = -0.00, az = -0.03

pose: (1.04,-0.70,-1.05)	thetad = -1.05	e = -0.00, az = -0.03

pose: (1.05,-0.70,-1.06)	thetad = -1.06	e = -0.00, az = -0.03

